RX 0000046 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460989981 06.04.2023 12:45:55.893 0031025285 3134850640
RX 0000047 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460991110 06.04.2023 12:45:55.895 0031025285 3134870640
RX 0000048 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460992295 06.04.2023 12:45:55.896 0031025285 3134880640
RX 0000049 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460993442 06.04.2023 12:45:55.897 0031025285 3134890640
RX 0000050 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460994663 06.04.2023 12:45:55.898 0031025285 3134900640
RX 0000051 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460996582 06.04.2023 12:45:55.900 0031025285 3134920640
RX 0000052 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460997656 06.04.2023 12:45:55.901 0031025285 3134930640
RX 0000053 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1460998859 06.04.2023 12:45:55.902 0031025285 3134940640
RX 0000054 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461000063 06.04.2023 12:45:55.904 0031025285 3134960640
RX 0000055 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461001137 06.04.2023 12:45:55.905 0031025285 3134970640
RX 0000056 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461003277 06.04.2023 12:45:55.907 0031025285 3134990640
RX 0000057 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461004534 06.04.2023 12:45:55.908 0031025285 3135000640
RX 0000058 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461006601 06.04.2023 12:45:55.910 0031025285 3135020640
RX 0000059 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461007803 06.04.2023 12:45:55.911 0031025285 3135030640
RX 0000060 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461008987 06.04.2023 12:45:55.912 0031025285 3135040640
RX 0000061 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461010208 06.04.2023 12:45:55.914 0031025285 3135060640
RX 0000062 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461012201 06.04.2023 12:45:55.916 0031025285 3135080640
RX 0000063 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461013330 06.04.2023 12:45:55.917 0031025285 3135090640
RX 0000064 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461014496 06.04.2023 12:45:55.918 0031025285 3135100640
RX 0000065 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461015717 06.04.2023 12:45:55.919 0031025285 3135110640
RX 0000066 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461016883 06.04.2023 12:45:55.920 0031025285 3135120640
RX 0000067 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461018104 06.04.2023 12:45:55.922 0031025285 3135140640
RX 0000068 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461019215 06.04.2023 12:45:55.923 0031025285 3135150640
RX 0000069 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461020381 06.04.2023 12:45:55.924 0031025285 3135160640
RX 0000070 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461021547 06.04.2023 12:45:55.925 0031025285 3135170640
RX 0000071 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461022731 06.04.2023 12:45:55.926 0031025285 3135180640
RX 0000072 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461023915 06.04.2023 12:45:55.927 0031025285 3135190640
RX 0000073 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461025118 06.04.2023 12:45:55.929 0031025285 3135210640
RX 0000074 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461027092 06.04.2023 12:45:55.931 0031025285 3135230640
RX 0000075 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461028975 06.04.2023 12:45:55.932 0031025285 3135240640
RX 0000076 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461030967 06.04.2023 12:45:55.934 0031025285 3135260640
RX 0000077 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461033015 06.04.2023 12:45:55.936 0031025285 3135280640
RX 0000078 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461034218 06.04.2023 12:45:55.938 0031025285 3135300640
RX 0000079 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461036302 06.04.2023 12:45:55.940 0031025285 3135320640
RX 0000080 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461037450 06.04.2023 12:45:55.941 0031025285 3135330640
RX 0000081 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461038561 06.04.2023 12:45:55.942 0031025285 3135340640
RX 0000082 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461039874 06.04.2023 12:45:55.943 0031025285 3135350640
RX 0000083 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461040966 06.04.2023 12:45:55.944 0031025285 3135360640
RX 0000084 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461042904 06.04.2023 12:45:55.946 0031025285 3135380640
RX 0000085 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461044878 06.04.2023 12:45:55.948 0031025285 3135400640
RX 0000086 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461046981 06.04.2023 12:45:55.950 0031025285 3135420640
RX 0000087 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461048974 06.04.2023 12:45:55.952 0031025285 3135440640
RX 0000088 SFF 000004D2 8 HEX   AA  01  33  DD  00  00  00  00 1461050930 06.04.2023 12:45:55.954 0031025285 3135460640
