001	Rx	d	2	14	00						
001	Rx	d	2	14	01						
002	Rx	d	6	14	01	8E	D8	B6	9B		
001	Rx	d	2	14	05						
001	Rx	d	2	14	0A						
001	Rx	d	2	14	69						
001	Rx	d	7	11	FF	00	00	00	00	0	
001	Rx	d	7	11	01	8E	D8	B6	9B	1	
002	Rx	d	6	11	01	8E	D8	B6	9B		
001	Rx	d	7	17	01	B9	20	2E	E7	0	
002	Rx	d	8	17	01	73	72	06	FE	3	2
001	Rx	d	7	17	01	5B	5E	46	81	1	
002	Rx	d	8	17	01	71	82	A5	20	3	2
001	Rx	d	7	11	FF	00	00	00	00	0	
001	Rx	d	7	11	FF	00	00	00	00	0	
001	Rx	d	7	11	01	8E	D8	B6	9B	1	
002	Rx	d	6	11	01	8E	D8	B6	9B		
001	Rx	d	6	0D	01	08	00	30	00		
002	Rx	d	2	0D	01						
001	Rx	d	8	05	01	00	20	08	07	0	0
001	Rx	d	8	05	01	00	01	00	00	0	1
001	Rx	d	8	05	01	00	00	03	00	0	0
001	Rx	d	8	05	01	00	00	00	00	0	1
001	Rx	d	8	05	01	00	00	00	00	0	0
001	Rx	d	8	05	01	00	02	00	00	1	F4
001	Rx	d	8	05	01	00	00	00	00	0	0
001	Rx	d	8	05	01	00	01	0A	64	1E	C8
001	Rx	d	8	05	01	FF	FF	00	00	EF	0
001	Rx	d	8	05	01	00	01	00	00	0	0
001	Rx	d	8	05	01	00	00	00	00	0	0
001	Rx	d	2	02	01						
002	Rx	d	6	02	01	00	42	00	00		
001	Rx	d	8	05	01	00	00	00	00	0	0
001	Rx	d	8	05	01	00	00	00	00	0	0
001	Rx	d	8	05	01	00	00	00	00	0	1
001	Rx	d	8	05	01	00	01	00	00	0B	1F
001	Rx	d	8	05	01	7A	3A	EB	43	CD	41
001	Rx	d	8	05	01	B7	00	78	D4	0B	0D
001	Rx	d	8	05	01	7F	68	D2	E5	77	CE
001	Rx	d	8	05	01	10	AD	C1	98	BB	8
001	Rx	d	8	05	01	8A	50	B4	76	DA	A4
001	Rx	d	8	05	01	9E	7A	51	54	F8	A2
001	Rx	d	8	05	01	06	DB	E2	80	20	0C
001	Rx	d	2	02	01						
002	Rx	d	6	02	01	00	42	00	00		
001	Rx	d	8	05	01	E3	A0	10	04	E3	A0
001	Rx	d	8	05	01	C0	01	E5	F2	0	18
